"Table with row headers in columns A and B, and column headers in rows 5 through 6 and rows 62 through 63.",,,,,,,,,,,,,,,
"Table 10. Reasons For Not Voting, By Selected Characteristics: November 2020",,,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Selected characteristics,,Total not voting1 ,Percent distribution of reasons for not voting,,,,,,,,,,,,
,,,Out of town,Forgot to vote,Concerns about the coronavirus (COVID-19) pandemic,Illness or disability,Not interested,"Too busy, conflicting schedule",Transportation problems,Did not like candidates or campaign issues,Registration problems,Bad weather conditions,Inconvenient polling place,Other reason,Don't know or refused
TOTAL, ,"12,810",6.1,3.7,4.3,13.0,17.6,13.1,2.4,14.5,4.9,0.1,2.6,14.5,3.2
Age,18 to 24 years,"2,017",8.8,5.7,2.3,4.5,19.2,18.4,3.0,11.0,4.9,-,2.5,15.7,4.0
,25 to 44 years,"5,350",5.8,3.6,3.8,5.8,19.8,16.3,1.4,16.7,5.8,-,3.4,14.4,3.2
,45 to 64 years,"3,364",6.3,3.2,4.1,15.8,16.7,11.7,3.0,15.3,4.6,0.1,2.0,14.3,3.0
,65 years and over,"2,079",3.8,2.8,8.1,35.2,11.7,2.1,3.3,11.2,3.1,0.2,1.8,14.0,2.6
Sex,Male,"6,375",7.0,3.5,3.4,9.7,20.1,14.2,2.2,14.6,5.2,0.1,2.6,14.5,2.9
,Female,"6,434",5.1,3.9,5.2,16.3,15.1,12.1,2.6,14.5,4.6,0.1,2.6,14.5,3.5
Race and Hispanic origin,White alone,"9,926",6.3,3.5,4.3,12.7,17.8,12.8,1.9,15.9,4.9,0.1,2.6,14.1,3.1
,White non-Hispanic alone,"8,056",6.4,3.3,4.3,13.2,17.6,12.0,2.1,16.1,4.7,-,2.4,14.5,3.4
,Black alone,"1,800",4.7,5.0,3.4,14.0,18.1,10.5,5.8,10.2,4.6,-,3.4,16.0,4.4
,Asian alone,441,8.5,0.5,9.3,12.8,11.9,24.8,-,6.1,9.1,-,1.1,15.4,0.4
,Hispanic (of any race),"2,096",6.9,4.1,4.5,10.2,17.9,16.7,1.0,15.8,5.0,0.2,3.1,12.9,1.7
,White alone or in combination,"10,261",6.3,3.6,4.2,12.7,17.8,13.2,1.8,15.7,4.8,0.1,2.6,14.1,3.1
,Black alone or in combination,"1,949",4.7,5.3,3.1,14.2,17.5,11.8,5.4,10.1,4.6,-,3.5,15.5,4.4
,Asian alone or in combination,515,8.6,3.0,9.0,10.9,13.3,22.7,-,6.4,7.8,-,1.1,16.8,0.3
Educational attainment,Less than high school graduate,"1,503",4.5,3.7,5.5,24.1,16.3,10.9,5.8,5.9,3.1,0.3,2.5,14.4,2.9
,High school graduate,"5,036",5.6,3.6,3.9,13.1,19.0,13.3,2.1,14.0,4.4,-,2.8,14.6,3.7
,Some College,"3,901",6.4,4.5,4.0,10.0,17.6,14.2,2.5,16.9,5.0,-,2.2,14.0,2.6
,Bachelors Degree or more,"2,371",7.5,2.6,5.0,10.7,15.6,12.4,0.6,17.2,6.9,-,2.9,15.1,3.3
Nativity,Native-born citizen,"11,688",5.9,3.7,4.0,12.9,17.7,13.1,2.6,14.7,4.8,-,2.5,14.7,3.2
,Naturalized citizen,"1,122",7.6,3.6,7.2,13.8,16.1,13.5,0.3,12.8,6.1,0.3,3.5,12.3,2.8
Duration of residence,Less than 1 year,"2,283",8.1,4.3,2.1,6.3,17.1,13.3,3.2,16.2,9.4,-,2.3,15.0,2.7
,1 to 2 years,"2,119",4.9,3.8,2.5,9.7,17.5,15.4,2.0,15.1,6.9,0.1,2.3,17.8,2.0
,3 years or longer,"8,240",5.8,3.6,5.5,15.5,17.9,12.4,2.2,14.1,3.2,0.1,2.9,13.4,3.5
,"Don't know, refused",167,6.8,-,0.6,24.2,10.9,14.6,5.1,8.2,-,-,-,17.6,11.9
Region,Northeast,"2,177",5.2,3.4,6.0,14.1,16.3,9.3,1.8,16.9,4.8,0.1,3.0,14.6,4.5
,Midwest,"3,049",5.2,3.2,4.0,13.9,17.0,15.2,1.8,15.3,3.9,-,2.1,15.1,3.2
,South,"5,423",7.3,3.3,4.6,13.8,17.9,13.8,3.5,11.7,5.3,-,3.3,12.9,2.6
,West,"2,160",5.0,5.9,2.3,8.6,19.0,12.4,0.9,18.3,5.3,0.3,1.1,17.4,3.4
Family income2 ,Total in families,"8,458",6.3,3.5,4.4,12.6,17.6,13.7,2.1,14.1,5.0,-,2.6,15.0,3.1
,"Under $10,000",302,6.5,5.2,2.9,15.9,9.9,12.6,6.2,8.6,2.8,-,6.6,21.5,1.3
,"$10,000 to $14,999",336,0.8,2.2,1.7,21.0,15.4,14.2,8.5,13.6,3.8,-,2.9,11.0,4.8
,"$15,000 to $19,999",224,2.9,1.1,3.0,13.7,25.5,4.7,1.8,9.8,4.9,-,3.8,24.1,4.7
,"$20,000 to $29,999",736,4.0,1.3,5.7,18.9,19.8,12.2,4.0,7.9,9.8,-,1.9,12.3,2.2
,"$30,000 to $39,999",736,6.4,4.6,6.8,16.1,17.3,12.4,1.4,13.3,2.1,-,2.4,14.7,2.5
,"$40,000 to $49,999",643,8.1,2.8,4.7,12.0,16.9,13.9,1.7,17.3,7.4,-,0.2,13.3,1.6
,"$50,000 to $74,999","1,435",5.7,3.4,5.2,10.9,18.9,15.5,1.2,13.4,4.3,-,2.8,16.0,2.7
,"$75,000 to $99,999",964,8.6,3.8,3.4,7.2,19.8,14.4,0.8,19.7,4.9,-,3.1,11.6,2.6
,"$100,000 to $149,999",989,5.5,3.5,2.8,8.8,16.9,14.5,0.1,17.9,6.5,-,3.7,16.2,3.8
,"$150,000 and over",752,8.7,5.6,5.4,8.4,17.3,18.5,0.6,10.6,5.7,-,1.3,14.8,3.1
,Income not reported,"1,339",6.6,3.3,3.8,15.4,15.7,11.0,3.6,14.7,3.1,0.3,2.2,16.0,4.5
,,,,,,,,,,,,,,,
1 Only individuals who report not voting but also report being registered are asked the question about reason for not voting.,,,,,,,,,,,,,,,
"2 Family income is limited to persons who report income or refuse to answer the income question. Respondents who report not knowing their income are not included in this section, which includes only the reference person with relatives in the household or people with the following relationship to the householder: spouse, child, grandchild, parent, sibling, or other relative. This section excludes foster children, unmarried partners, non-relatives, and roommates.",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,,
A dash '-' represents zero or rounds to zero.,,,,,,,,,,,,,,,
Estimates may not sum to totals due to rounding.,,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see https://www.census.gov/programs-surveys/cps/technical-documentation/complete.2020.html",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, November 2020",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 10a. Margins of Error for Reasons For Not Voting, By Selected Characteristics: November 2020",,,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Selected characteristics,,Margins of error for distribution of reasons for not voting,,,,,,,,,,,,,
,,Out of town,Forgot to vote,Concerns about the coronavirus (COVID-19) pandemic,Illness or disability,Not interested,"Too busy, conflicting schedule",Transportation problems,Did not like candidates or campaign issues,Registration problems,Bad weather conditions,Inconvenient polling place,Other reason,Don't know or refused,
TOTAL, ,0.8,0.6,0.7,1.1,1.3,1.1,0.5,1.2,0.7,0.1,0.5,1.2,0.6,
Age,18 to 24 years,2.4,2.0,1.3,1.8,3.4,3.3,1.4,2.7,1.8,-,1.3,3.1,1.7,
,25 to 44 years,1.2,1.0,1.0,1.2,2.1,1.9,0.6,2.0,1.2,-,1.0,1.8,0.9,
,45 to 64 years,1.6,1.2,1.3,2.4,2.5,2.1,1.1,2.4,1.4,0.2,0.9,2.3,1.1,
,65 years and over,1.6,1.4,2.3,4.0,2.7,1.2,1.5,2.6,1.5,0.4,1.1,2.9,1.3,
Sex,Male,1.2,0.9,0.9,1.4,1.9,1.7,0.7,1.7,1.1,0.1,0.8,1.7,0.8,
,Female,1.1,0.9,1.1,1.8,1.7,1.6,0.8,1.7,1.0,0.1,0.8,1.7,0.9,
Race and Hispanic origin,White alone,0.9,0.7,0.8,1.3,1.5,1.3,0.5,1.4,0.8,0.1,0.6,1.3,0.7,
,White non-Hispanic alone,1.0,0.8,0.9,1.4,1.6,1.4,0.6,1.6,0.9,0.1,0.7,1.5,0.8,
,Black alone,1.8,1.9,1.6,3.0,3.3,2.6,2.0,2.6,1.8,-,1.6,3.2,1.8,
,Asian alone,5.3,1.4,5.5,6.4,6.2,8.2,-,4.6,5.5,-,2.0,6.9,1.2,
,Hispanic (of any race),2.2,1.7,1.8,2.6,3.4,3.3,0.9,3.2,1.9,0.4,1.5,2.9,1.1,
,White alone or in combination,0.9,0.7,0.8,1.3,1.4,1.3,0.5,1.4,0.8,0.1,0.6,1.3,0.7,
,Black alone or in combination,1.7,1.8,1.4,2.9,3.1,2.7,1.9,2.5,1.7,-,1.5,3.0,1.7,
,Asian alone or in combination,4.9,3.0,5.1,5.5,6.0,7.4,-,4.3,4.7,-,1.8,6.6,1.0,
Educational attainment,Less than high school graduate,2.1,1.9,2.3,4.2,3.6,3.1,2.3,2.3,1.7,0.5,1.5,3.5,1.7,
,High school graduate,1.2,1.0,1.0,1.8,2.1,1.8,0.8,1.9,1.1,0.1,0.9,1.9,1.0,
,Some College,1.5,1.3,1.2,1.8,2.3,2.1,1.0,2.3,1.3,0.1,0.9,2.1,1.0,
,Bachelors Degree or more,2.1,1.3,1.7,2.4,2.8,2.6,0.6,3.0,2.0,-,1.3,2.8,1.4,
Nativity,Native-born citizen,0.8,0.7,0.7,1.2,1.4,1.2,0.6,1.3,0.8,0.1,0.6,1.3,0.6,
,Naturalized citizen,3.0,2.1,2.9,3.9,4.2,3.9,0.6,3.8,2.7,0.7,2.1,3.8,1.9,
Duration of residence,Less than 1 year,2.2,1.6,1.2,1.9,3.0,2.7,1.4,2.9,2.3,-,1.2,2.9,1.3,
,1 to 2 years,1.8,1.6,1.3,2.5,3.2,3.0,1.2,3.0,2.1,0.2,1.2,3.2,1.2,
,3 years or longer,1.0,0.8,1.0,1.5,1.6,1.4,0.6,1.5,0.7,0.1,0.7,1.4,0.8,
,"Don't know, refused",7.4,-,2.2,12.7,9.2,10.5,6.5,8.1,-,-,-,11.3,9.6,
Region,Northeast,1.8,1.5,1.9,2.9,3.0,2.4,1.1,3.1,1.7,0.2,1.4,2.9,1.7,
,Midwest,1.5,1.2,1.4,2.4,2.6,2.5,0.9,2.5,1.3,-,1.0,2.5,1.2,
,South,1.4,0.9,1.1,1.8,2.0,1.8,1.0,1.7,1.2,0.1,0.9,1.7,0.8,
,West,1.8,1.9,1.2,2.3,3.2,2.7,0.8,3.2,1.9,0.4,0.9,3.1,1.5,
Family income1 ,Total in families,1.0,0.8,0.9,1.4,1.6,1.4,0.6,1.4,0.9,0.1,0.7,1.5,0.7,
,"Under $10,000",5.4,4.9,3.7,8.0,6.6,7.3,5.3,6.2,3.7,-,5.4,9.0,2.5,
,"$10,000 to $14,999",1.9,3.1,2.7,8.5,7.5,7.3,5.8,7.1,4.0,-,3.5,6.5,4.5,
,"$15,000 to $19,999",4.3,2.7,4.3,8.8,11.1,5.4,3.4,7.6,5.5,-,4.9,10.9,5.4,
,"$20,000 to $29,999",2.7,1.6,3.3,5.5,5.6,4.6,2.8,3.8,4.2,-,1.9,4.6,2.1,
,"$30,000 to $39,999",3.4,3.0,3.5,5.2,5.3,4.7,1.6,4.8,2.0,-,2.2,5.0,2.2,
,"$40,000 to $49,999",4.1,2.5,3.2,4.9,5.6,5.2,2.0,5.7,3.9,-,0.7,5.1,1.9,
,"$50,000 to $74,999",2.3,1.8,2.2,3.2,4.0,3.7,1.1,3.4,2.0,-,1.7,3.7,1.6,
,"$75,000 to $99,999",3.5,2.3,2.2,3.2,4.9,4.3,1.1,4.9,2.7,-,2.1,4.0,2.0,
,"$100,000 to $149,999",2.8,2.2,2.0,3.4,4.6,4.3,0.3,4.7,3.0,-,2.3,4.5,2.3,
,"$150,000 and over",3.9,3.2,3.2,3.9,5.3,5.4,1.1,4.3,3.2,-,1.6,4.9,2.4,
,Income not reported,2.6,1.9,2.0,3.8,3.8,3.3,1.9,3.7,1.8,0.6,1.5,3.8,2.2,
,,,,,,,,,,,,,,,
"1 Family income is limited to persons who report income or refuse to answer the income question. Respondents who report not knowing their income are not included in this section, which includes only the reference person with relatives in the household or people with the following relationship to the householder: spouse, child, grandchild, parent, sibling, or other relative. This section excludes foster children, unmarried partners, non-relatives, and roommates.",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,,
Only individuals who report not voting but also report being registered are asked the question about reason for not voting.,,,,,,,,,,,,,,,
A dash '-' represents zero or rounds to zero.,,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see hhttps://www.census.gov/programs-surveys/cps/technical-documentation/complete.2020.html",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, November 2020",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,